no,kabupaten,kb_otg,kl_otg,sm_otg,ks_otg,not_cvd_otg,kb_odp,kl_odp,sm_odp,ks_odp,not_cvd_odp,kb_pdp,kl_pdp,sm_pdp,ks_pdp,not_cvd_pdp,positif,sembuh,meninggal
1,Banggai,0,0,0,0,0,0,4,0,4,49,0,0,0,0,10,10,4,0
2,Banggai Kepulauan,0,1,0,0,28,0,0,0,0,9,0,0,0,0,0,4,1,0
3,Banggai Laut,0,13,0,13,16,0,0,0,0,1,0,0,0,0,0,1,0,0
4,Buol,7,9,0,16,0,0,33,9,24,70,0,0,0,0,6,57,50,0
5,Donggala,0,70,,70,38,0,0,0,0,32,1,0,0,1,7,4,0,0
6,Morowali,0,84,0,84,249,0,0,0,0,33,1,4,0,5,16,12,10,0
7,Morowali Utara,0,21,3,18,249,0,1,1,0,14,0,5,0,5,20,14,13,1
8,Parigi Moutong,0,87,0,87,5,0,7,1,6,106,0,0,0,0,6,1,0,0
9,Poso,1,49,11,39,234,0,2,0,2,45,0,3,0,3,19,13,12,0
10,Sigi,0,15,1,14,9,0,1,0,1,1,0,1,1,0,11,5,3,0
11,Tojo Una-una,0,7,0,7,18,0,2,0,2,31,0,1,0,1,8,0,0,0
12,Toli-toli,20,23,0,43,27,2,202,43,161,77,0,7,5,2,15,18,12,0
13,Kota Palu,0,247,203,44,431,5,32,0,37,167,0,1,1,0,54,39,25,3
