1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12a
0,0,3,0,0,4,0,0,0,0,0,0
3,0,3,0,0,4,-,0,0,0,0,0
3,3,2,0,0,5,5,0,3,0,3,2
3,3,a,3,a,0,0,0,3,0,0,0
3,3,3,0,0,0,0,0,5,S,0,0
2,3,3,0,0,7,0,0,9,2,0,0
3,3,3,3,3,0,S,0,0,7,0,6
3,3,3,0,0,0,0,0,0,S,0,7
3,2,2,0,0,2,0,0,0,0,0,0
3,&,3,0,0,0,0,3,0,0,0,4
0,&,2,0,0,0,6,0,0,0,0,4
0,0,2,2,0,4,0,3,2,0,0,0
2,0,3,3,3,0,0,7,6,0,0,0
3,23,3,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,3,0,3
3,0,3,2,2,0,7,0,S,0,2,0
2,3,3,0,0,0,0,a,0,0,0,0
3,a,3,0,0,2,2,0,0,0,0,0
3,&,3,0,0,2,2,0,-,0,2,0
3,3,3,0,0,0,0,S,4,S,0,3
3,2,2,3,3,0,0,0,0,7,0,0
2,0,3,0,0,0,S,0,0,5,0,0
&,3,3,0,0,2,3,0,0,0,0,0
0,3,3,0,0,6,3,2,0,S,0,0
2,0,2,0,&,0,0,0,0,0,0,0
3,0,3,0,3,7,6,0,6,7,0,0
3,2,3,0,0,0,3,0,0,0,0,0
3,3,3,0,3,S,S,7,0,0,0,2
3,3,3,3,3,S,4,0,0,0,0,0
3,3,3,0,2,0,0,3,3,0,0,0
0,3,3,0,&,6,0,0,0,6,5,0
